425 21861
84 113
47 169 593929884
101 136 139578349
152 130 543811863
296 184 811755520
248 137 318674905
321 191 180512666
346 137 372202221
2 241 280509521
208 2 973660087
269 101 781303301
45 44 861491303
399 314 691297180
14 79 243103953
299 214 347251698
82 159 219991633
361 301 90404630
21 254 154447493
124 412 785924322
351 114 884334282
116 13 975799669
420 21 856333067
262 319 807431653
312 373 590680903
389 346 726486131
162 221 417214413
194 277 267393397
76 141 813915477
268 336 998155015
1 58 566519796
115 203 677857664
19 130 382394064
278 380 158488683
150 365 540944435
282 23 422246440
328 296 242783702
73 395 52628762
224 129 914771240
74 367 136237542
345 185 884276597
411 230 279699235
191 206 651669099
24 108 977899119
113 400 995262447
260 375 810973454
357 2 590915741
90 259 63540574
8 161 620512408
409 227 681095557
107 189 354235240
123 337 609847883
56 121 825220293
104 280 725996687
354 152 242883411
88 4 828898318
291 321 552284599
183 107 417739446
47 246 17694147
337 165 272431664
206 134 542917170
20 100 781187876
217 117 988063177
409 296 491301658
77 411 304402926
47 167 819158906
21 329 77603264
236 353 716774256
105 261 252512537
309 118 745549647
406 1 122116515
289 370 630319289
51 352 955298617
321 54 822489334
31 225 594738970
304 73 960605681
213 387 794772005
356 1 726982646
136 182 764660892
108 258 862466493
305 393 76535968
75 5 960991969
260 73 926444969
274 359 458161514
306 220 661201057
364 135 398260349
83 156 333880059
354 181 790479437
357 127 626593705
221 90 213583730
401 388 92385364
82 26 980154118
144 252 626905787
22 407 296061007
30 393 305896310
190 186 191558055
30 33 395352156
306 292 208028766
168 275 357837562
89 184 312231952
54 163 893470601
390 394 853466062
129 147 857265743
137 47 958763400
166 36 569358584
147 180 780474694
192 422 761694761
370 301 717476923
378 391 691315386
236 204 801325618
111 391 191229935
129 422 78308359
386 335 500874672
368 304 664628763
92 259 858302510
139 369 324560816
19 133 217678875
64 414 411503568
215 144 819998038
376 208 189215516
143 402 24920452
348 245 812514814
104 394 889712487
200 420 629488881
342 251 683971925
244 215 338941586
248 183 255776801
157 101 93069601
49 132 448224883
337 125 613175234
397 318 688927446
63 10 180444027
76 61 702348729
410 50 148373425
338 188 300773142
44 332 590441381
133 155 230250761
308 30 366959986
240 361 145452151
121 323 957284728
92 259 856339864
51 339 592989650
228 196 205260518
2 29 346872986
163 239 578462378
84 69 407011599
351 142 277153893
59 65 431499731
351 264 645600443
66 100 432555874
135 397 294482633
402 290 775627891
283 123 54812737
274 252 327690662
139 373 346561710
123 43 310459916
61 376 152142734
175 39 585002696
70 392 849699487
308 314 930003709
89 145 830285917
386 378 314279567
356 159 569477904
189 353 233131058
149 397 335297323
131 7 395462530
123 20 745648408
360 174 156957250
61 257 167863628
63 386 265399292
208 84 481852186
33 355 268675686
265 281 360505338
219 246 398357860
57 33 728654113
72 263 144839450
80 199 434388567
29 51 257205535
278 404 718440499
188 223 498440933
8 415 441022067
305 135 141086993
145 290 589255297
159 245 966008215
369 398 883538474
346 2 631386554
368 143 359856006
155 316 907197819
187 232 49448562
65 153 240774861
211 166 678360645
47 272 88869294
365 120 268291416
92 121 764180372
264 285 965371433
369 117 616054774
150 55 91546995
323 344 925937897
366 232 83919779
323 379 742228876
17 360 583867566
58 187 269792077
400 387 578863306
293 303 2006050
18 52 941661859
261 61 647878756
288 68 814268215
309 25 53966075
220 117 715584541
126 265 398922798
169 254 103967457
341 36 358927984
225 66 974396216
54 353 560479619
396 51 414699809
181 356 753526625
316 93 306859612
132 66 67129171
122 260 54639737
182 76 250040645
266 19 303546525
251 121 889186172
51 22 946340397
34 120 172150912
236 391 435057103
1 63 812850565
258 152 780218795
212 174 704747498
47 245 768503845
379 119 811747950
224 361 14148731
67 388 164694841
74 86 452653617
293 381 811084062
422 236 127452832
153 35 87119652
341 272 970990948
204 405 256329690
152 116 334928616
376 350 505370426
19 118 27247981
97 364 39993870
115 206 72632912
278 163 152996759
168 118 805838331
338 102 744183544
242 328 935217991
171 236 525410856
306 334 671297851
84 136 112857464
339 151 293421037
78 109 493463559
283 183 683211786
292 249 599365420
123 159 33614157
272 53 443251373
201 193 824821090
358 171 490398494
355 416 847846976
120 182 110793733
337 160 128576198
395 348 832495830
206 215 889591528
164 175 730690476
83 63 111166612
81 60 743853309
3 44 595121251
50 420 578671489
274 311 357945515
371 149 981885360
369 401 89340686
243 305 770850295
238 216 124897610
392 235 479036149
69 175 860336995
237 32 616998325
358 369 586520597
330 132 637578510
160 213 142685856
160 372 757188410
355 371 834525441
329 307 610144124
73 10 729177291
1 290 877427147
150 156 760863365
14 36 591727424
382 333 912794598
130 100 68903832
112 275 941055779
195 173 519697890
196 136 811598561
338 344 860502362
86 343 361831102
393 4 455393022
367 335 329844586
99 182 20428514
132 351 362830542
28 374 396378021
377 358 91276167
162 200 272341768
297 204 867897483
419 12 82085330
382 219 275447797
59 348 590043723
414 171 495268597
166 296 813300328
5 412 482909289
284 250 544046197
239 349 805340548
406 342 728113152
69 329 360513876
98 266 664223487
71 408 393657260
374 84 176607562
129 123 460129394
191 188 305530305
301 303 580342719
309 347 883665557
221 361 321535439
150 44 871120121
279 162 339836859
345 173 576328185
122 161 379071724
151 2 393169013
348 224 126092297
82 196 699732609
405 81 285329893
337 59 6698114
399 9 671362036
423 304 365341569
155 229 658245707
380 301 60150403
371 148 744170051
183 387 416531636
28 21 469419443
371 5 909363600
398 289 112169776
387 160 165366434
217 370 773735784
8 75 308247959
91 200 497445503
102 391 373027958
269 311 893805533
262 345 103289277
346 202 770302219
66 193 785219998
25 366 255989969
106 320 380608718
176 256 758260454
55 190 643250385
412 28 102518428
123 271 757471899
178 378 924725698
376 386 640690369
395 43 288955565
33 65 373297500
408 18 134480195
84 348 81419887
254 345 130787858
258 6 930195678
137 77 22067673
337 150 852716607
227 424 520216504
287 282 417950916
84 378 725824200
15 256 122903248
417 9 670463365
214 166 631626491
33 192 467075046
103 38 317702783
325 198 7047801
115 39 887919930
168 311 9110977
189 126 764826968
41 257 390195656
357 295 762570731
79 332 663231211
248 131 916291236
341 356 222755196
140 130 883548947
156 230 668322903
278 207 471997483
403 62 30956713
279 316 683471378
105 255 571940658
170 171 762744696
307 105 267883
45 186 430505253
278 119 304960584
40 418 632811753
173 81 51235327
182 388 612530829
293 182 820647306
290 398 466697462
10 135 276683883
138 371 248053239
91 263 542801040
414 24 20084741
333 325 320219242
194 72 305362723
333 187 720335076
142 216 719418345
345 199 684404840
40 202 736002026
17 173 696913519
82 327 116027443
130 336 383791658
240 419 608790353
389 324 131120761
49 342 98765631
277 244 293684790
136 255 177497898
113 125 379652868
238 82 133687791
317 383 623137906
387 300 552865455
112 122 606724420
42 228 730614743
418 389 864052493
314 191 276430757
250 46 941868664
107 363 611368880
185 260 610824844
361 197 650872832
103 121 14418315
104 96 308749522
32 198 625043015
192 7 396483804
188 369 892211763
77 296 614168113
117 226 884905489
238 147 485678076
378 4 952826930
83 206 69227150
336 307 330481181
8 161 740296883
297 23 112314311
3 341 994175250
211 85 167809245
134 375 472179560
188 308 956332011
258 271 43153250
144 106 110745244
390 290 43894382
237 77 331642062
249 380 307532316
22 156 188722085
51 172 77011430
206 151 543724580
355 244 878359449
216 93 272097106
92 206 777567478
67 75 586819933
27 195 803597530
74 269 201952787
297 250 363327644
134 112 203960283
420 329 292410803
43 390 385822695
217 400 469984148
328 327 378949745
304 210 401124213
263 155 754155956
44 165 977622257
373 422 325559169
242 185 89942859
122 177 621701613
422 54 655097993
15 364 173928582
16 264 854928834
324 116 922362360
339 336 656364996
235 30 210333713
289 215 536502220
208 170 534778873
12 113 748560755
152 361 658149778
272 122 520097674
45 320 849150917
344 81 506535315
8 234 149534201
146 356 738509437
385 388 349756779
293 425 824732674
254 265 100099882
282 203 27637535
165 309 100355225
146 376 14884624
172 50 425742924
331 353 537860015
285 399 445414476
15 75 168400431
301 326 94120119
206 2 408415940
145 343 246022019
352 97 97386008
142 229 31205244
304 169 3735434
117 386 228863194
137 360 154769261
409 130 931090067
69 107 261349105
164 158 176250015
421 202 590365710
380 300 12146412
243 63 938179959
87 244 360085404
3 24 683702589
229 331 719646982
73 106 716590878
211 31 412985007
119 382 942255156
349 408 546445794
292 180 447651863
333 239 354598778
344 268 110437408
415 388 344991202
200 27 34117899
208 303 412049129
327 218 771391804
46 15 283883105
208 405 650535431
221 292 802394185
154 59 575216668
315 169 342818243
406 190 92834387
173 15 294749268
251 49 444242716
196 24 225251273
404 293 825532169
326 246 489458196
295 349 936579848
251 43 500001470
258 225 651915585
399 168 3714814
130 183 44137205
145 29 658897115
160 215 783660130
30 413 302455884
418 49 706313610
191 228 135920276
390 157 289364132
198 383 410366238
274 204 738728353
301 9 594504837
264 10 900250064
270 61 31433137
392 231 633067842
37 383 208360146
86 316 223902335
7 268 150783138
381 197 777149024
50 264 468626233
159 351 361865169
106 178 266039275
238 415 569612136
384 239 410789050
78 149 924628229
106 364 552692419
42 50 970790411
150 420 501284262
329 151 741644307
296 247 214072848
349 395 262424771
34 321 406096782
185 399 276250115
79 424 453884361
216 405 816216240
31 374 284927012
149 399 970876044
228 132 814518507
161 11 807355024
195 302 958320796
51 255 291030834
156 350 216493989
424 208 381921547
292 114 850032658
418 106 512907258
222 384 412440786
102 103 994548576
60 275 743379108
230 91 165896897
89 121 444814304
128 59 770201703
58 57 587225368
59 250 751066447
358 36 258105556
68 106 541079140
322 320 478466250
154 67 828540620
152 377 456055687
241 157 817633101
53 100 464495257
390 366 395103571
214 207 720590939
72 348 908491679
101 150 717467528
160 413 437259037
32 180 957517805
4 45 510625267
55 272 724833020
235 243 942451704
154 134 636759087
403 256 531424745
19 94 346180996
183 121 644251298
94 372 995139927
186 352 758611524
368 360 372310601
63 277 44827672
303 252 410325175
186 175 586878540
64 185 960166881
177 54 726309802
193 31 387105940
339 129 895905491
154 74 153091306
402 287 796732028
260 164 522996654
8 243 333681037
94 250 892979717
195 82 102128153
236 264 411087758
226 70 906322513
340 199 602701245
208 81 304379494
396 318 58474927
191 53 210259014
219 75 234857384
17 167 612053533
118 384 550008176
117 102 314215852
380 147 787979432
157 65 134536833
183 392 226415621
295 220 177738731
181 33 350851326
361 131 503214251
136 31 844883197
97 229 729647158
270 405 390104977
21 160 251032626
156 145 343962678
324 421 975870958
182 165 499415916
171 76 108833059
292 141 766844099
41 287 91300306
321 294 21240008
277 289 112285933
112 266 739754152
62 61 225968035
80 242 830778163
131 353 87362748
58 171 419231444
13 183 74686473
290 66 847427057
94 196 4906838
250 180 99282254
363 60 310318505
319 133 720813002
65 334 745940189
124 137 957527572
353 233 124743667
111 299 304835871
374 169 190930190
298 114 431712307
248 155 805581844
314 221 171482662
388 377 837549116
395 383 666439430
21 99 130375584
187 104 758793496
411 415 440740754
121 318 181847101
405 310 627447734
371 323 884521826
308 354 897532353
178 384 117859445
151 403 767169566
151 269 791090910
75 299 671210853
326 253 885366151
425 391 914529577
209 190 318833211
243 271 763329406
32 185 293875921
149 112 705284065
304 283 76653006
395 385 708188751
165 249 732573389
149 251 780381703
305 42 360820730
352 272 943191048
298 81 337266772
200 137 674044138
250 207 22559206
67 47 755301314
268 1 443323077
241 184 410781517
156 270 401706930
374 182 867171145
191 140 708345071
315 80 590608566
364 49 877055034
292 207 421264113
73 269 15522104
126 121 697221641
119 28 737321331
23 310 80564071
116 239 199795573
361 78 893115794
407 190 161436588
133 65 297234694
309 389 132164699
344 118 773911897
159 62 974685769
91 410 516371622
382 118 480292212
34 210 726454836
397 223 379897934
312 420 974311961
150 27 236985488
127 225 736570822
355 93 486045998
46 166 907233287
79 260 290126730
295 276 446130633
158 383 229451177
131 378 470435512
154 238 75795536
408 170 206374
125 350 951746440
355 118 128552481
176 220 993430407
311 143 47468053
103 335 187115592
117 104 384605263
205 116 22777974
181 340 306720971
32 230 873526010
241 115 931250386
102 206 968338586
385 33 63142613
225 20 867851253
319 169 210242454
292 146 419367135
147 397 375709791
203 31 258816553
372 132 747430060
269 23 206306329
190 205 747952093
52 107 759073895
84 50 815514798
136 376 183017310
416 193 996085296
402 354 915660628
85 380 503857356
260 411 12641208
127 81 371805333
155 80 252659708
283 4 153362070
245 169 957454497
325 17 550423098
419 44 567899088
96 179 819074405
380 81 144198017
141 114 23360888
93 394 579364684
333 261 607671963
58 374 108971475
198 48 520010890
374 410 700279807
43 275 207865381
355 296 930700487
107 237 126473951
357 369 265516261
128 285 853267773
42 272 972554395
12 367 313693905
214 269 835369668
127 394 61204063
47 4 509063422
58 116 925935314
146 40 127330336
356 189 735402346
298 203 312336817
47 150 30443261
406 55 431544878
405 49 978557318
27 157 370149245
337 256 344440504
219 405 508077816
44 124 658827793
133 104 224563242
58 399 5609490
369 383 16797615
417 182 314476391
246 338 974914488
324 91 864085784
208 227 925751011
295 11 759171989
282 362 982200974
213 160 53972343
283 95 910169371
172 48 982593919
278 325 955890382
63 192 314254097
423 179 20782858
140 410 538058642
77 349 778497499
44 246 964901260
122 207 510370769
216 292 44460086
47 171 209564845
249 385 719483104
247 118 60205102
245 148 985029011
371 403 558985547
402 224 687766798
178 15 552594341
251 164 560961496
71 325 198405328
355 322 476203669
154 297 106820499
172 91 627026066
130 65 192792767
169 98 614775682
313 405 677223807
251 337 173990646
97 29 792148384
13 21 518520764
247 199 456836651
408 304 851257560
289 133 676586239
258 176 347783206
189 104 805337296
289 189 510483689
51 155 619921587
296 88 287014906
389 149 756715701
335 289 459964317
233 138 977084590
260 364 542998305
202 365 397445043
343 200 621889581
169 87 998378112
255 168 279253610
338 204 1974409
163 394 769087119
326 310 890138705
402 28 854791023
347 107 718937959
23 271 907276177
69 336 320304144
57 166 745945434
368 123 650248067
196 9 916999951
53 407 847739993
105 180 437892918
112 391 101258694
310 207 417607879
51 8 602265577
123 173 613990430
140 206 36636980
233 353 427746569
230 121 320262380
334 275 698364807
59 339 230712528
229 100 387608795
170 107 749713850
6 43 39018170
12 70 461729372
105 405 687405143
209 102 998205468
204 338 677832065
224 54 716912229
275 171 585677924
75 33 3326051
85 89 894298811
393 174 836748652
118 19 268031962
297 124 468428152
312 133 89647439
274 259 971034428
146 63 835088564
298 175 125656654
284 336 290141895
134 24 65527594
401 73 899605143
265 163 866092098
101 245 717146025
417 330 664580678
376 289 133829971
370 416 674531693
129 398 135525697
306 235 587047687
86 189 336913252
195 329 676820185
7 169 668958001
305 284 773421064
240 389 489780956
184 271 20154156
421 425 792418367
23 142 10489583
310 174 344908344
362 253 315665826
309 164 136642733
133 325 534235365
402 324 749912769
50 14 319224816
318 304 570029864
16 1 49869138
309 310 433647256
381 196 917531278
306 85 781044478
298 354 4309142
290 33 499684538
354 264 711074000
276 3 242224371
48 8 18738160
325 35 915389492
351 318 79124256
189 252 855105970
88 43 58994370
75 52 589054778
194 49 258905024
124 153 25051961
162 49 877325257
286 348 954689760
218 83 289864705
22 305 99551612
375 291 998299000
292 129 295820330
51 42 533476640
121 265 56897265
287 3 112383461
48 104 396924862
143 248 344434705
6 231 948013464
116 265 926010040
4 62 223185309
375 59 154501330
347 160 105612959
324 33 860770280
209 268 532978369
47 255 454364407
243 367 707556680
379 263 797763140
108 192 887833348
189 295 869505566
220 163 311114190
168 19 133806673
340 170 183306453
21 88 721315324
303 350 394554508
74 276 784464440
359 101 134406704
424 77 73406424
204 181 688229473
117 359 198192581
391 46 645525304
193 133 454641456
330 299 656759705
255 227 954360471
171 363 834701642
20 353 546314545
245 417 420217326
355 214 313871666
17 74 362002536
301 257 914125806
146 138 792476993
267 287 281831115
238 20 432233399
334 411 433023076
124 322 928819647
375 277 79353099
307 371 521500484
81 93 266804444
378 121 556009011
291 383 229284656
349 22 328878667
197 91 441951328
64 222 888376444
186 309 602755963
405 350 347010778
84 153 421230785
386 402 336594260
41 253 488690381
10 399 973217119
4 187 968945216
139 112 231992493
17 129 558344723
99 425 841869994
192 397 582040405
354 338 366450309
398 30 325782436
108 105 307415507
73 75 24484690
285 201 594808234
54 134 338213263
415 212 322443540
74 75 953056643
62 16 533925035
104 134 943873033
256 116 500651369
18 224 374994571
276 214 61380906
156 255 498097088
170 52 740589376
156 239 604811313
96 52 179929532
56 14 110766987
111 392 836244974
331 287 931952579
307 204 811565293
282 52 539553392
369 90 956765996
156 300 490950122
271 121 650438188
71 26 71981718
142 46 758523920
279 323 497426117
80 403 401974122
3 389 602191711
403 26 666181979
45 220 456051841
248 10 102763172
118 12 988875581
377 150 775762545
8 219 743141943
202 164 243678109
348 157 211045261
23 425 392634222
389 35 564329438
400 423 109601588
78 368 510226414
235 407 831077457
246 381 757400660
193 135 96581932
56 293 537998939
223 359 228998719
375 325 637581474
413 380 673973431
43 357 954709125
46 357 869114736
417 2 509087927
304 165 194447299
303 399 495429817
17 375 834753990
229 290 210915677
408 248 479282902
22 164 478866514
347 302 384189878
328 165 728083990
320 97 522096661
126 2 925605125
150 152 194458436
78 307 847319779
178 97 785264243
257 70 570497890
341 114 981827673
61 176 623199986
244 176 910956884
6 375 921057325
230 300 347350521
413 379 67661768
64 54 996887499
218 333 283404415
106 325 850432968
33 225 499742122
154 424 10926431
83 17 65599473
196 393 789729204
56 314 877211835
114 30 183911777
60 333 392690380
227 301 303190397
312 17 567667296
294 214 676197636
336 330 543006104
185 203 176794615
310 163 314535325
198 164 177778231
356 148 877341218
123 84 138240845
353 364 885777652
260 407 249796738
231 25 973021094
3 291 961812737
389 32 707712741
50 146 496248954
33 63 620712507
412 351 276186111
72 361 473279357
75 4 696930079
157 191 696957883
387 285 985724157
352 322 181325077
51 424 795855529
156 259 49827010
5 279 997125202
235 270 799128140
199 212 282933196
115 287 821568073
410 168 745603671
161 244 97888918
331 74 797109708
193 413 349645203
85 114 585617006
157 187 898436482
137 258 590288370
69 186 843118072
288 80 974136261
226 370 282830712
216 243 5050264
44 119 141614994
67 290 631431499
111 154 900975423
291 158 204922443
318 184 428773821
356 63 511997140
425 169 896823790
59 356 969258322
261 372 81831820
58 390 891291311
358 90 109742631
20 304 29571864
203 61 172702810
325 22 66084403
212 166 22925807
264 388 285498178
9 105 806449214
315 185 882118427
163 220 645305072
318 113 363589627
353 422 399912791
246 23 4636243
266 35 405780081
316 164 243257666
61 362 339779800
368 31 529709910
297 375 511790708
364 422 165660449
391 62 537386510
33 398 56656818
303 223 545340399
103 412 429101639
257 14 969213105
331 374 306707598
344 324 277041410
245 7 220012544
411 168 425961921
381 369 772394506
321 88 521289121
348 414 744916729
76 208 53904928
277 207 396057033
201 245 37155991
194 360 775348268
172 283 865120088
308 377 455524750
214 51 182271087
365 346 736813174
25 55 983144387
317 365 845537024
280 3 493311989
104 325 604882860
417 10 469316355
382 290 982803485
89 98 250153049
107 381 558817717
425 311 16942964
81 196 478250522
323 72 343833065
273 105 685493022
104 59 374752588
392 234 635112462
31 296 722103281
284 62 324713833
217 3 23443226
308 8 208769341
54 30 655055852
359 30 16899566
184 363 872955400
47 115 457002741
7 35 63627720
281 121 394883439
362 330 488590238
263 129 912876362
396 381 434567364
59 206 270632984
73 57 344444524
309 174 893614445
419 176 59522772
59 187 188755406
359 81 891886007
117 54 566472155
371 158 523276993
373 105 934033732
128 169 756914379
359 152 274420757
280 47 804812402
413 10 731564901
1 223 320443888
323 378 804595669
178 11 973619699
175 181 552506146
257 52 822858249
12 319 938795523
282 97 778304781
3 304 650881812
109 375 114100827
199 117 176002452
173 342 52875853
409 251 654611460
134 160 521340057
47 15 303385416
336 8 789931951
163 376 374430504
277 32 794720510
312 4 118841868
135 302 654692887
141 47 8057587
237 3 741294590
164 344 304483871
34 388 195236798
31 78 635266931
346 233 683093803
385 275 689046606
103 293 292142649
393 122 701902877
264 327 794888069
26 279 692703956
218 307 850264169
244 336 78777404
67 279 666575376
141 62 72973417
57 15 65219729
23 361 96000988
198 408 771285384
422 392 264222413
364 368 592764902
210 93 202762705
211 377 831801618
422 138 510242804
175 424 85994954
149 415 91392588
367 149 34296524
8 272 655133092
138 414 510859028
332 352 245117090
259 299 979803562
58 285 950176649
153 135 422893000
412 250 47724911
55 420 38547126
313 117 603552155
210 341 812292223
106 43 502549669
245 191 583201114
393 271 711536019
351 388 333442622
159 401 67347332
288 127 92880469
387 255 166387725
286 289 781406238
95 63 217236973
404 82 721524395
89 408 963687672
296 104 540664863
86 116 844862817
136 196 294329559
204 30 396653547
291 181 289107863
172 147 603704150
63 264 877450717
220 139 571699985
256 223 494816121
102 186 335341913
417 412 855988620
270 264 439311089
425 288 924425846
151 413 649117915
235 41 913170779
16 77 487616611
353 176 262674271
83 405 832446085
198 284 406877629
258 387 824132519
329 274 187652511
344 364 554970569
17 79 626218382
27 61 321816542
149 181 842510633
374 368 635357667
53 384 250155439
181 242 777344491
68 164 541761390
423 151 367574784
45 401 819607882
212 105 123306314
25 56 231222319
408 303 842288141
383 218 244118484
158 374 864866672
134 411 671627831
308 216 323157982
123 289 513446272
312 94 394931460
154 13 734807881
206 9 983294515
285 19 598338478
31 188 508344616
3 364 576253954
382 334 22335773
317 12 283668993
221 117 783754283
395 213 980003941
91 359 746440418
367 43 261095338
304 139 79397092
203 326 260323998
86 194 603823999
374 133 705604563
205 175 647009720
41 73 742657636
403 174 842524320
148 177 809080813
139 215 889209945
363 221 172760376
146 371 890418558
165 285 300033932
36 334 241281447
415 183 620973887
275 377 673291025
89 48 758953414
131 134 647535868
150 243 980885210
102 179 112241357
162 143 808988276
322 35 10722710
330 352 63007130
383 132 882973814
357 237 794339010
383 251 103283862
113 315 76080782
195 333 541767611
129 311 44397041
288 400 289936955
380 211 634576799
308 203 271460902
299 19 733243294
265 68 623761405
235 194 950830863
17 203 457922609
11 91 208191290
105 73 609524940
345 249 760368514
300 188 857706056
113 171 872045929
15 174 258168097
227 386 617804213
325 287 712585797
272 133 746579449
136 389 776333775
299 143 804909910
336 421 662431481
172 60 47269445
64 145 339072150
320 31 998880168
246 93 659789498
19 306 935630622
222 370 691243923
131 246 733021607
78 394 517476073
382 293 181602831
207 277 557093394
415 134 175440895
247 334 181478508
359 165 173151347
386 30 390131091
147 90 763090785
21 397 447815627
349 123 402830459
58 368 300286346
328 19 896032603
282 44 47392507
194 425 22931973
312 5 55570168
421 20 202286558
204 379 103282244
225 258 473247647
61 353 231115420
419 326 155354332
402 326 59061085
143 370 788509214
210 156 713711766
104 404 504459840
407 71 727883190
368 358 152558600
387 98 659325800
265 58 5346427
185 372 885850548
400 406 45912815
261 145 246760884
248 38 77711790
376 408 357993983
101 225 649410487
331 304 536900753
195 138 110537266
67 82 822440973
18 424 176023691
